"location_id","location_name","location_type","voivodeship","source_url","source_as_of"
"LOC001","BIELSKO-BIAŁA","miasto","śląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC002","ZAKOPANE","miasto","małopolskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC003","KASPROWY WIERCH","góry","małopolskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC004","HALA GĄSIENICOWA","góry","małopolskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC005","NOWY SĄCZ","miasto","małopolskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC006","KROSNO","miasto","podkarpackie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC007","LESKO","miasto","podkarpackie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC008","PRZEMYŚL","miasto","podkarpackie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC009","JELENIA GÓRA","miasto","dolnośląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC010","ŚNIEŻKA","góry","dolnośląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC011","KŁODZKO","miasto","dolnośląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC012","OPOLE","miasto","opolskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC013","RACIBÓRZ","miasto","śląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC014","CZĘSTOCHOWA","miasto","śląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC015","KATOWICE","miasto","śląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC016","KRAKÓW","miasto","małopolskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC017","KIELCE","miasto","świętokrzyskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC018","TARNÓW","miasto","małopolskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC019","SANDOMIERZ","miasto","świętokrzyskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC020","RZESZÓW","miasto","podkarpackie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC021","ZAMOŚĆ","miasto","lubelskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC022","ZIELONA GÓRA","miasto","lubuskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC023","ZGORZELEC","miasto","dolnośląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
"LOC024","LEGNICA","miasto","dolnośląskie","https://eteryt.stat.gov.pl/eTeryt/rejestr_teryt/teryt_rejestr.aspx","2026-01-01"
