station_name,location,location_name,id,station_code
BIELSKO-BIAŁA,miasto,BIELSKO-BIAŁA,PL.PZGiK.320.NGRP.5702,349190600
ZAKOPANE,miasto,ZAKOPANE,PL.PZGiK.320.NGRP.156960,349190625
KASPROWY WIERCH,góry,KASPROWY WIERCH,,349190650
HALA GĄSIENICOWA,góry,HALA GĄSIENICOWA,,349200628
NOWY SĄCZ,miasto,NOWY SĄCZ,PL.PZGiK.320.NGRP.90288,349200660
KROSNO,miasto,KROSNO,PL.PZGiK.320.NGRP.62143,349210670
LESKO,miasto,LESKO,PL.PZGiK.320.NGRP.67343,349220690
PRZEMYŚL,miasto,PRZEMYŚL,PL.PZGiK.320.NGRP.110997,349220695
JELENIA GÓRA,miasto,JELENIA GÓRA,PL.PZGiK.320.NGRP.46057,350150500
ŚNIEŻKA,góry,ŚNIEŻKA,,350150510
KŁODZKO,miasto,KŁODZKO,PL.PZGiK.320.NGRP.54557,350160520
OPOLE,miasto,OPOLE,PL.PZGiK.320.NGRP.93352,350170530
RACIBÓRZ,miasto,RACIBÓRZ,PL.PZGiK.320.NGRP.113687,350180540
CZĘSTOCHOWA,miasto,CZĘSTOCHOWA,PL.PZGiK.320.NGRP.20688,350190550
KATOWICE,miasto,KATOWICE,PL.PZGiK.320.NGRP.51380,350190560
KATOWICE-MUCHOWIEC,miasto,KATOWICE,PL.PZGiK.320.NGRP.51380,350190560
KRAKÓW-BALICE,miasto,KRAKÓW,PL.PZGiK.320.NGRP.61204,350190566
KIELCE-SUKÓW,miasto,KIELCE,PL.PZGiK.320.NGRP.52837,350200570
TARNÓW,miasto,TARNÓW,PL.PZGiK.320.NGRP.139048,350200575
SANDOMIERZ,miasto,SANDOMIERZ,PL.PZGiK.320.NGRP.120700,350210585
RZESZÓW-JASIONKA,miasto,RZESZÓW,PL.PZGiK.320.NGRP.119861,350220580
ZAMOŚĆ,miasto,ZAMOŚĆ,PL.PZGiK.320.NGRP.158368,350230595
ZIELONA GÓRA,miasto,ZIELONA GÓRA,PL.PZGiK.320.NGRP.161263,351150400
ZGORZELEC,miasto,ZGORZELEC,PL.PZGiK.320.NGRP.161042,351150405
LEGNICA,miasto,LEGNICA,PL.PZGiK.320.NGRP.66952,351160415
LESZNO,miasto,LESZNO,PL.PZGiK.320.NGRP.67540,351160418
WROCŁAW,miasto,WROCŁAW,PL.PZGiK.320.NGRP.151543,351160424
WROCŁAW-STRACHOWICE,miasto,WROCŁAW,PL.PZGiK.320.NGRP.151543,351160424
KALISZ,miasto,KALISZ,PL.PZGiK.320.NGRP.48611,351180435
WIELUŃ,miasto,WIELUŃ,PL.PZGiK.320.NGRP.146633,351180455
ŁÓDŹ,miasto,ŁÓDŹ,PL.PZGiK.320.NGRP.73598,351190465
ŁÓDŹ-LUBLINEK,miasto,ŁÓDŹ,PL.PZGiK.320.NGRP.73598,351190465
SULEJÓW,miasto,SULEJÓW,PL.PZGiK.320.NGRP.133404,351190469
KOZIENICE,miasto,KOZIENICE,PL.PZGiK.320.NGRP.60561,351210488
LUBLIN-RADAWIEC,miasto,LUBLIN,PL.PZGiK.320.NGRP.70301,351220495
WŁODAWA,miasto,WŁODAWA,PL.PZGiK.320.NGRP.149179,351230497
